timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,Wkdy(EST),Hour(EST),Month(EST),TOD(EST),DOY(EST),sensor
2019-09-06 15:59:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,11,9,1159,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,12,9,1200,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,12,9,1200,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,12,9,1200,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 20:26:01+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,16,9,1626,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 21:28:54+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1728,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 21:29:21+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1729,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 21:30:17+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1730,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 21:34:27+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1734,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 23:20:17+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,19,9,1920,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-06 23:23:17+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,19,9,1923,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
2019-09-07 00:00:00+00:00,3.929566744210524,24.62207792207791,51.0190909090909,100.89519480519479,9.185555555555554,0.5064935064935064,403.2077922077922,747.8961038961038,26.018831168831174,50.33714285714285,0.02563200107999996,0.5137662337662336,0.5307792207792208,0.5344155844155843,0.0658441558441558,protoCBAS-G,,protoCBAS-G,,,,,5,20,9,2000,249,C:\Users\samgt\Documents\GitHub\Plotly-Dash\CSV\2Interim\3_extradata\protoCBAS-G.csv
